ID,LicenceArea,GridSupplyPoint,Substation,SiteFunctionalLocation,Proposed_Connection_Voltage_kV,Status of Connection,Demand_Numbers_Received_Total_Number,Demand_Numbers_Received_Total_Capacity,Generation_Numbers_Received_Total_Number,Generation_Numbers_Received_Total_Capacity,Spatial Coordinates
302,Eastern Power Networks (EPN),Pelham,Pelham 132kV,EPN-S0000000C7070,33,Connection offers made (not yet accepted by customer),,,3,55,"51.9351365482506, 0.118115255066342"
307,Eastern Power Networks (EPN),Pelham,Thaxted Grid 33kV,EPN-S0000000D3051,33,Connection offers made (not yet accepted by customer),,,2,31.7,"51.9655875581503, 0.360450203279172"
308,Eastern Power Networks (EPN),Pelham,Thorley Primary 11kV,EPN-S0000000H7020,33,Budget Estimates Provided,,,1,7.4,"51.8477438633511, 0.156507335423487"
313,Eastern Power Networks (EPN),Rayleigh,Chelmsford East Local 11kV,EPN-S0000000H3058,11,Connection offers made (not yet accepted by customer),3.0,5.5,,,"51.7159313868667, 0.518478466646667"
351,Eastern Power Networks (EPN),Rye House,Rye House Grid 33kV,EPN-S0000000D7015,33,"Connection offers made (cancelled, expired, superseded)",3.0,50.2,,,"51.7580295556759, 0.00389214056568798"
352,Eastern Power Networks (EPN),Rye House,Rye House Local Primary 11kV,,11,Connection offers made (not yet accepted by customer),1.0,1.5,,,
354,Eastern Power Networks (EPN),Rye House,Ware Primary 11kV,EPN-S0000000H7137,11,Budget Estimates Provided,1.0,2.5,,,"51.8146748246106, -0.026573159431733"
361,Eastern Power Networks (EPN),Sundon,Arla Dairies Primary 11kV,EPN-S0000000H8049,11,Connection offers made (not yet accepted by customer),1.0,12.0,,,"51.8148792190328, -0.724937196192035"
362,Eastern Power Networks (EPN),Sundon,Austin Canons Grid 33kV,EPN-S0000000D4024,33,Connection offers made (not yet accepted by customer),1.0,14.4,,,"52.1267409229522, -0.482627126732345"
367,Eastern Power Networks (EPN),Sundon,Buckingham Rd Primary 11kV,EPN-S0000000H8071,33,Budget Estimates Provided,,,1,10,"51.8331984751452, -0.818275557970287"
380,Eastern Power Networks (EPN),Sundon,Pitstone Primary 11kV,EPN-S0000000H8038,11,Connection offers made (not yet accepted by customer),1.0,3.0,,,"51.8303045940099, -0.648080490927451"
381,Eastern Power Networks (EPN),Sundon,Stopsley Primary 33/11kV,EPN-S0000000H8019,11,Budget Estimates Provided,1.0,1.3,,,"51.9013508449566, -0.395708824296217"
399,Eastern Power Networks (EPN),Tilbury 1&7,Cranham Primary 11kV,,11,Budget Estimates Provided,3.0,6.0,,,
403,Eastern Power Networks (EPN),Tilbury 1&7,Selwyn Rd Primary 11kV,,11,Connection offers made (not yet accepted by customer),1.0,2.0,,,
408,Eastern Power Networks (EPN),Tilbury 2&8,Canvey Primary 11kV,EPN-S0000000H7109,11,"Connection offers made (cancelled, expired, superseded)",,,1,2,"51.5236189267748, 0.575637834045731"
410,Eastern Power Networks (EPN),Tilbury 2&8,Thundersley Primary 11kV,EPN-S0000000H7135,11,Budget Estimates Provided,3.0,8.8,,,"51.5757329037717, 0.56263505423494"
418,Eastern Power Networks (EPN),Tottenham,Ponders End Primary 11kV,EPN-S0000000H7071,11,"Connection offers made (cancelled, expired, superseded)",2.0,3.0,,,"51.6423477766754, -0.0422885115616133"
427,Eastern Power Networks (EPN),Tottenham,West Grn Primary 11kV,EPN-S0000000H7119,11,Connection offers made (not yet accepted by customer),1.0,1.3,,,"51.5894462682209, -0.102034553788448"
437,Eastern Power Networks (EPN),Walpole,Great Haddon Primary 11kV,EPN-S0000000G6026,33,"Connection offers made (cancelled, expired, superseded)",1.0,39.5,,,"52.5359787252294, -0.3003399571397"
438,Eastern Power Networks (EPN),Walpole,Hardwick Rd Primary 11kV,EPN-S0000000H6055,11,Budget Estimates Provided,2.0,3.5,,,"52.7406474812884, 0.408034645296999"
462,Eastern Power Networks (EPN),Walpole,Peterborough North Grid 11kV,EPN-S0000000F6037,11,Connection offers made (not yet accepted by customer),3.0,8.1,,,"52.5938665883332, -0.266549961436331"
476,Eastern Power Networks (EPN),Walpole,Whittlesey Primary 11kV,EPN-S0000000H6070,11,Connection offers made (not yet accepted by customer),1.0,1.4,,,"52.5506766817983, -0.134797847149669"
513,Eastern Power Networks (EPN),Watford South,Westbury Primary 11kV,,11,Budget Estimates Provided,1.0,8.0,,,
514,Eastern Power Networks (EPN),Watford South,Westbury Primary 11kV,,11,Connection offers made (not yet accepted by customer),,,1,2,
515,Eastern Power Networks (EPN),West Thurrock,Hedley Av Hss 11kV,EPN-S0000000H7010,11,Connection offers made (not yet accepted by customer),2.0,7.5,,,"51.4743281429612, 0.296850411581145"
539,Eastern Power Networks (EPN),Wymondley,Warren Springs Primary 11kV,,33,Budget Estimates Provided,1.0,10.0,,,
559,London Power Networks (LPN),City Road,Whiston Rd 11kV,LPN-S000000000495,11,Connection offers made (not yet accepted by customer),1.0,1.1,,,"51.535218783752, -0.0682578840091404"
565,London Power Networks (LPN),Hurst,Bromley South 11kV,LPN-S000000000808,11,Connection offers made (not yet accepted by customer),1.0,7.8,,,"51.3914391742025, 0.037681542207521"
572,London Power Networks (LPN),City Road,Calshot St 11kV,LPN-S000000000112,11,Budget Estimates Provided,1.0,11.0,,,"51.5315579574, -0.116871464052454"
575,London Power Networks (LPN),City Road,Devonshire Square 11kV,LPN-S000000000418,11,Budget Estimates Provided,1.0,1.6,,,"51.5163799124923, -0.0797928643756813"
582,London Power Networks (LPN),City Road,Finsbury Mkt E 11kV,LPN-S000000000433,11,Connection offers made (not yet accepted by customer),1.0,4.8,,,"51.5210292111895, -0.0831000494376474"
588,London Power Networks (LPN),City Road,Paternoster 11kV,,11,Connection offers made (not yet accepted by customer),1.0,2.3,,,
602,London Power Networks (LPN),Hackney 132kV,Hearn St 11kV,,11,Connection offers made (not yet accepted by customer),1.0,2.5,,,
618,London Power Networks (LPN),Littlebrook,Dartford Grid A 33kV,,33,Connection offers made (not yet accepted by customer),1.0,35.0,,,
637,London Power Networks (LPN),Wimbledon 1&2 132kV,Brixton B 11kV,LPN-S000000000910,11,Connection offers made (not yet accepted by customer),2.0,2.9,,,"51.4639674784381, -0.113363995300386"
646,London Power Networks (LPN),Redbridge,Clarks Rd B 11kV,,11,Connection offers made (not yet accepted by customer),2.0,7.9,,,
648,London Power Networks (LPN),Redbridge,Woodgrange Park 11kV,LPN-S000000000697,11,Budget Estimates Provided,1.0,5.0,,,"51.5477488373816, 0.0492016582075075"
653,London Power Networks (LPN),St Johns Wood,Ebury Bridge 11kV,LPN-S000000000330,11,Connection offers made (not yet accepted by customer),2.0,3.2,,,"51.4905931459516, -0.148824656020859"
672,London Power Networks (LPN),West Ham,Glaucus St 11kV,LPN-S000000000634,11,Budget Estimates Provided,1.0,2.9,,,"51.5196034202651, -0.0178779448198617"
673,London Power Networks (LPN),West Ham,Glaucus St 11kV,LPN-S000000000634,11,Connection offers made (not yet accepted by customer),1.0,4.8,,,"51.5196034202651, -0.0178779448198617"
683,London Power Networks (LPN),West Ham,West Ham Grid 11kV,LPN-S000000000695,11,Budget Estimates Provided,1.0,1.5,,,"51.5194041870565, 0.00232216044962693"
689,London Power Networks (LPN),Willesden 132kV,Gibbons Rd 11kV,LPN-S000000000240,11,Connection offers made (accepted by customer),1.0,7.0,,,"51.5463340961811, -0.256605931549261"
697,London Power Networks (LPN),Wimbledon 1&2 132kV,Montford Place B 11kV,LPN-S000000000958,11,Connection offers made (not yet accepted by customer),3.0,3.9,1,3,"51.4855456102047, -0.113668954301761"
735,South Eastern Power Networks (SPN),Bolney,Capel Switching Stn 33kV,,33,"Connection offer made (cancelled, expired, superseded)",,,1,10.1,
792,South Eastern Power Networks (SPN),Chessington,Molesey 11kV,SPN-S000000008437,11,"Connection offer made (cancelled, expired, superseded)",,,1,1.1,"51.4070529386549, -0.373757052190142"
803,South Eastern Power Networks (SPN),Kemsley,Queenborough 6.6kV,SPN-S000000008368,11,Connection offer made (not yet accepted by customer),1.0,1.5,,,"51.4137737819941, 0.747353832229567"
832,South Eastern Power Networks (SPN),Laleham,Twickenham 11kV,SPN-S000000008352,11,"Connection offer made (cancelled, expired, superseded)",1.0,3.65,,,"51.4476180721927, -0.340425920684922"
838,South Eastern Power Networks (SPN),Little Horsted,Little Horsted 132kV,SPN-S000000008613,132,Connection offer made (not yet accepted by customer),1.0,1.3,1,50.9,
841,South Eastern Power Networks (SPN),Ninfield,Bexhill Town 11kV,SPN-S000000008317,11,Connection offer made (accepted by customer),1.0,1.14,,,"50.8421223599025, 0.488736508959372"
844,South Eastern Power Networks (SPN),Ninfield,Hailsham 11kV,SPN-S000000008361,11,"Connection offer made (cancelled, expired, superseded)",1.0,1.0,,,"50.8585502066372, 0.24514120744472"
856,South Eastern Power Networks (SPN),Ninfield,Uckfield 11kV,SPN-S000000008374,11,Connection offer made (not yet accepted by customer),1.0,1.15,,,"50.9700428194242, 0.0948016972566031"
868,South Eastern Power Networks (SPN),Northfleet,Gravesend West 11kV,,11,"Connection offer made (cancelled, expired, superseded)",1.0,2.62,,,
890,South Eastern Power Networks (SPN),Richborough,Richborough Grid 33kV,SPN-S000000009157,33,Connection offer made (not yet accepted by customer),,,1,35.7,"51.308514194124, 1.34553332001761"
913,South Eastern Power Networks (SPN),West Weybridge,Guildford 'B' 11kV,,11,Connection offer made (not yet accepted by customer),2.0,2.95,,,
31,Eastern Power Networks (EPN),Bramford,Braiswick Primary 11kV,EPN-S0000000H3016,11,Connection offers made (accepted by customer),,,1,1.3,"51.9040458577, 0.88612429122237"
35,Eastern Power Networks (EPN),Bramford,Bramford Grid 132kV,EPN-S0000000C1068,132,Connection offers made (not yet accepted by customer),2.0,250.0,1,50,"52.0702354374567, 1.06278038805205"
46,Eastern Power Networks (EPN),Bramford,Claydon Cement Primary 11kV,EPN-S0000000H1059,11,Connection offers made (not yet accepted by customer),3.0,22.3,,,"52.1097479270073, 1.09671905265498"
62,Eastern Power Networks (EPN),Bramford,Highfield Primary 11kV,EPN-S0000000H1006,11,Connection offers made (not yet accepted by customer),1.0,3.8,,,"52.0769542169972, 1.12812127222429"
64,Eastern Power Networks (EPN),Bramford,Icklingham Primary 11kV,EPN-S0000000H1015,11,Connection offers made (not yet accepted by customer),1.0,5.0,,,"52.335989068288, 0.562876277898539"
100,Eastern Power Networks (EPN),Bramford,Wickham Market Grid 33kV,EPN-S0000000D5073,33,Budget Estimates Provided,,,2,50,"52.1874930946002, 1.36753668530461"
127,Eastern Power Networks (EPN),Burwell,Fulbourn 11kV,EPN-S0000000F4065,11,Connection offers made (not yet accepted by customer),5.0,18.4,,,"52.1880935162035, 0.186107578703625"
134,Eastern Power Networks (EPN),Burwell,Histon Grid 33kV,EPN-S0000000D4009,33,Connection offers made (accepted by customer),1.0,30.0,,,"52.2461229481053, 0.102236618763704"
136,Eastern Power Networks (EPN),Burwell,Histon Grid 33kV,EPN-S0000000D4009,33,Connection offers made (not yet accepted by customer),,,1,49.9,"52.2461229481053, 0.102236618763704"
164,Eastern Power Networks (EPN),Eaton Socon,Bourn Primary 11kV,EPN-S0000000H4036,33,Connection offers made (not yet accepted by customer),,,6,120,"52.2013421618813, -0.0735841187723307"
178,Eastern Power Networks (EPN),Eaton Socon,Little Barford 132kV,EPN-S0000000C4055,132,Budget Estimates Provided,1.0,240.0,,,"52.2073460897954, -0.272003403194028"
208,Eastern Power Networks (EPN),Elstree,Park St Primary 11kV,EPN-S0000000H8143,11,Connection offers made (not yet accepted by customer),1.0,1.4,,,"51.7290355318667, -0.343475893046262"
211,Eastern Power Networks (EPN),Elstree,Shenley Primary 11kV,EPN-S0000000H8080,11,Connection offers made (not yet accepted by customer),2.0,4.2,,,"51.709511304088, -0.296135387653868"
217,Eastern Power Networks (EPN),Elstree,West Potters Bar Primary 11kV,EPN-S0000000H8083,11,Connection offers made (not yet accepted by customer),2.0,7.7,,,"51.7073052071919, -0.202401263478464"
626,London Power Networks (LPN),New Cross 132kV,Deptford Grid 11kV,LPN-S000000000786,11,Connection offers made (not yet accepted by customer),3.0,5.5,,,"51.4843563678957, -0.023454090166356"
627,London Power Networks (LPN),New Cross 132kV,Deptford Grid 11kV,LPN-S000000000786,132,Connection offers made (not yet accepted by customer),1.0,110.0,,,"51.4843563678957, -0.023454090166356"
634,London Power Networks (LPN),New Cross 66kV,Bengeworth Rd 11kV,LPN-S000000000907,11,"Connection offers made (cancelled, expired, superseded)",1.0,3.5,,,"51.4673121942058, -0.0966399815166458"
636,London Power Networks (LPN),Wimbledon 1&2 132kV,Brixton B 11kV,LPN-S000000000910,11,Connection offers made (accepted by customer),2.0,6.0,,,"51.4639674784381, -0.113363995300386"
643,London Power Networks (LPN),New Cross 66kV,Verney Rd 11kV,LPN-S000000000988,11,Connection offers made (accepted by customer),3.0,7.4,,,"51.4845215815859, -0.0646255603318666"
654,London Power Networks (LPN),St Johns Wood,Leicester Sq 11kV,LPN-S000000000359,11,Budget Estimates Provided,1.0,1.5,,,"51.510123089328, -0.130004889836649"
658,London Power Networks (LPN),St Johns Wood,Aberdeen Pl A 11kV,,11,Connection offers made (not yet accepted by customer),3.0,3.5,,,
661,London Power Networks (LPN),City Road,Finsbury Mkt F 33kV,LPN-S000000003433,33,Connection offers made (not yet accepted by customer),1.0,4.8,,,"51.5213652388713, -0.0833021594520701"
665,London Power Networks (LPN),Beddington,Sydenham Park 11kV,LPN-S000000000885,11,Connection offers made (not yet accepted by customer),4.0,5.3,,,"51.4334401301574, -0.0535779300761823"
678,London Power Networks (LPN),West Ham,Silvertown B 11kV,LPN-S000000000684,11,Connection offers made (not yet accepted by customer),3.0,4.0,,,"51.5035751427517, 0.0436168634007768"
698,London Power Networks (LPN),New Cross 132kV,Deptford West 22kV,LPN-S000000003722,11,Budget Estimates Provided,,,1,1,"51.4837341488212, -0.0228184606791258"
717,South Eastern Power Networks (SPN),Beddington,Addington Local 11kV,SPN-S000000008301,11,"Connection offer made (cancelled, expired, superseded)",1.0,1.5,,,"51.3572982107756, -0.0325765679817731"
721,South Eastern Power Networks (SPN),Beddington,Beddington 132kV,,132,"Connection offer made (cancelled, expired, superseded)",,,2,489.8,
733,South Eastern Power Networks (SPN),Bolney,Capel 11kV,SPN-S000000008356,11,"Connection offer made (cancelled, expired, superseded)",1.0,1.3,,,"51.1594569320356, -0.319453087918898"
750,South Eastern Power Networks (SPN),Bolney,Littlehampton 11kV,SPN-S000000008431,11,Connection offer made (accepted by customer),1.0,1.5,,,"50.810496313354, -0.541866441656141"
757,South Eastern Power Networks (SPN),Bolney,Nutfield 11kV,SPN-S000000008450,11,Connection offer made (not yet accepted by customer),1.0,1.3,,,"51.2350505862432, -0.150161113209501"
763,South Eastern Power Networks (SPN),Bolney,Southern Cross 132kV,,132,"Connection offer made (cancelled, expired, superseded)",,,1,50,
787,South Eastern Power Networks (SPN),Chessington,Epsom 11kV,SPN-S000000008398,11,Connection offer made (not yet accepted by customer),1.0,1.0,,,"51.3337398427694, -0.260030997727387"
789,South Eastern Power Networks (SPN),Chessington,Kingston 11kV,SPN-S000000008325,11,Connection offer made (accepted by customer),1.0,1.0,,,"51.4137729656541, -0.30601715065195"
790,South Eastern Power Networks (SPN),Chessington,Kingston 11kV,SPN-S000000008325,11,"Connection offer made (cancelled, expired, superseded)",2.0,5.1,,,"51.4137729656541, -0.30601715065195"
802,South Eastern Power Networks (SPN),Kemsley,Minster 6.6kV,,11,Connection offer made (not yet accepted by customer),1.0,2.28,,,
837,South Eastern Power Networks (SPN),Laleham,Twickenham Grid,,33,Budget Estimates Provided,1.0,11.0,,,
852,South Eastern Power Networks (SPN),Ninfield,Polegate Town 11kV,SPN-S000000008340,11,"Connection offer made (cancelled, expired, superseded)",,,1,6.1,"50.8168801437218, 0.245214725482652"
853,South Eastern Power Networks (SPN),Ninfield,Polegate Town 11kV,SPN-S000000008340,11,Connection offer made (not yet accepted by customer),1.0,1.8,,,"50.8168801437218, 0.245214725482652"
859,South Eastern Power Networks (SPN),Ninfield,Brighton Local 33kV,,33,Budget Estimates Provided,1.0,40.2,,,
870,South Eastern Power Networks (SPN),Northfleet,Northfleet East 132kV,SPN-S000000009937,132,"Connection offer made (cancelled, expired, superseded)",,,1,50.9,"51.4277809482857, 0.330940448884314"
877,South Eastern Power Networks (SPN),Northfleet,Tunbridge Wells Grid 11kV,SPN-S000000009351,11,Connection offer made (accepted by customer),1.0,1.5,,,"51.1448264315983, 0.273589695249059"
883,South Eastern Power Networks (SPN),Northfleet,Northfleet East 33kV,,33,Budget Estimates Provided,1.0,10.3,,,
888,South Eastern Power Networks (SPN),Richborough,Manston 11kV,SPN-S000000008616,11,Connection offer made (not yet accepted by customer),6.0,14.97,,,"51.353037578375, 1.36475273803397"
892,South Eastern Power Networks (SPN),Richborough,Thanet Grid 33kV,SPN-S000000009949,11,Connection offer made (not yet accepted by customer),1.0,2.7,,,"51.3683813742032, 1.38944566850995"
893,South Eastern Power Networks (SPN),Richborough,Richborough 132kV,SPN-S000000009957,132,Budget Estimates Provided,,,1,35,"51.3088083682998, 1.34562649107573"
894,South Eastern Power Networks (SPN),Sellindge,Ashford Central 6.6kV,SPN-S000000008302,6.6,"Connection offer made (cancelled, expired, superseded)",1.0,2.0,,,"51.1453323778251, 0.868133674607256"
897,South Eastern Power Networks (SPN),Sellindge,Ashford East 11kV,SPN-S000000008402,11,"Connection offer made (cancelled, expired, superseded)",,,1,1,"51.1557116830767, 0.897683010752673"
914,South Eastern Power Networks (SPN),West Weybridge,Leatherhead Town 11kV,,11,"Connection offer made (cancelled, expired, superseded)",1.0,1.0,,,
918,South Eastern Power Networks (SPN),West Weybridge,West Weybridge 11kV,SPN-S000000009353,11,"Connection offer made (cancelled, expired, superseded)",3.0,8.36,,,"51.3486201840969, -0.488594053389472"
921,South Eastern Power Networks (SPN),West Weybridge,Woking 11kV,,11,"Connection offer made (cancelled, expired, superseded)",1.0,1.5,,,
126,Eastern Power Networks (EPN),Burwell,Fulbourn 11kV,EPN-S0000000F4065,11,Budget Estimates Provided,2.0,5.3,,,"52.1880935162035, 0.186107578703625"
133,Eastern Power Networks (EPN),Burwell,Histon Grid 33kV,EPN-S0000000D4009,33,Budget Estimates Provided,1.0,40.0,,,"52.2461229481053, 0.102236618763704"
143,Eastern Power Networks (EPN),Burwell,Longstanton Primary 11kV,EPN-S0000000H4043,11,Connection offers made (not yet accepted by customer),1.0,1.3,,,"52.2657711622001, 0.0318234662643994"
181,Eastern Power Networks (EPN),Eaton Socon,Little Barford 132kV,EPN-S0000000C4055,33,Connection offers made (not yet accepted by customer),,,1,30,"52.2073460897954, -0.272003403194028"
190,Eastern Power Networks (EPN),Eaton Socon,Woodwalton Primary 11kV,,33,Connection offers made (not yet accepted by customer),,,2,35,
207,Eastern Power Networks (EPN),Elstree,Merryhill Primary 11kV,,11,Connection offers made (not yet accepted by customer),1.0,3.7,,,
209,Eastern Power Networks (EPN),Elstree,Piccotts End Grid 33kV,,11,Budget Estimates Provided,1.0,12.5,,,
223,Eastern Power Networks (EPN),Mill Hill,Church End Primary 11kV,EPN-S0000000H8090,11,Connection offers made (accepted by customer),1.0,2.9,,,"51.5961025321988, -0.208571164197179"
241,Eastern Power Networks (EPN),Norwich,Barrack St Primary 11kV,,11,Budget Estimates Provided,1.0,5.2,,,
250,Eastern Power Networks (EPN),Norwich,East Dereham Primary 11kV,EPN-S0000000H5016,11,Budget Estimates Provided,1.0,4.0,,,"52.6846328706583, 0.945193420743859"
288,Eastern Power Networks (EPN),Pelham,Belchamp Grid 33kV,EPN-S0000000D1011,33,Connection offers made (accepted by customer),,,1,24.5,"52.0685789944063, 0.605358966326239"
294,Eastern Power Networks (EPN),Pelham,Dunmow Primary 11kV,EPN-S0000000H3068,11,Budget Estimates Provided,1.0,1.8,,,"51.8680750681031, 0.370549140110797"
304,Eastern Power Networks (EPN),Pelham,Stansted Airport Main Pr 11kV,,11,Connection offers made (not yet accepted by customer),1.0,1.2,,,
312,Eastern Power Networks (EPN),Rayleigh,Chelmsford East Local 11kV,EPN-S0000000H3058,11,Budget Estimates Provided,1.0,3.0,,,"51.7159313868667, 0.518478466646667"
327,Eastern Power Networks (EPN),Rayleigh,Nevendon Grid 33kV,EPN-S0000000D7017,33,Connection offers made (not yet accepted by customer),,,1,21.8,"51.5945902916807, 0.484526289220705"
346,Eastern Power Networks (EPN),Rye House,Hoddesdon Primary 11kV,EPN-S0000000H7045,11,Budget Estimates Provided,1.0,2.0,,,"51.7610226244789, -0.00978536934773836"
375,Eastern Power Networks (EPN),Sundon,Luton North Grid 11kV,,11,Connection offers made (not yet accepted by customer),1.0,3.0,,,
391,Eastern Power Networks (EPN),Sundon,Westoning Grid 33kV,EPN-S0000000D8023,132,Connection offers made (not yet accepted by customer),,,1,40,"51.9863486231079, -0.490245258870721"
396,Eastern Power Networks (EPN),Tilbury 1&7,Basildon Grid 33kV,EPN-S0000000D7002,33,Connection offers made (not yet accepted by customer),,,4,160.9,"51.5659158377634, 0.391245704650906"
423,Eastern Power Networks (EPN),Tottenham,Tottenham Grid 33kV,EPN-S0000000D7021,11,Budget Estimates Provided,1.0,2.0,,,"51.6042917650286, -0.0476950548666127"
424,Eastern Power Networks (EPN),Tottenham,Tottenham Grid 33kV,EPN-S0000000D7021,11,Connection offers made (not yet accepted by customer),1.0,2.0,,,"51.6042917650286, -0.0476950548666127"
429,Eastern Power Networks (EPN),Walpole,Chatteris Primary 11kV,EPN-S0000000H6053,11,"Connection offers made (cancelled, expired, superseded)",1.0,2.7,,,"52.4557730368212, 0.0396030046490009"
434,Eastern Power Networks (EPN),Walpole,Farcet Primary 11kV,EPN-S0000000H6017,11,"Connection offers made (cancelled, expired, superseded)",1.0,4.2,,,"52.5367083923244, -0.234107584000454"
439,Eastern Power Networks (EPN),Walpole,Hempton Grid 33kV,EPN-S0000000D6045,33,Connection offers made (accepted by customer),,,1,30,"52.8294239895079, 0.826556488347647"
448,Eastern Power Networks (EPN),Walpole,March Grid 33kV,,33,Connection offers made (not yet accepted by customer),,,2,43.4,
453,Eastern Power Networks (EPN),Walpole,Orton Primary 11kV,EPN-S0000000H6076,11,Budget Estimates Provided,2.0,3.0,2,7,"52.5409901737158, -0.305602475962414"
467,Eastern Power Networks (EPN),Walpole,Walpole GIS 132kV,EPN-S0000000C6047,132,Budget Estimates Provided,5.0,265.0,2,250,"52.7270572195836, 0.200532896725508"
473,Eastern Power Networks (EPN),Walpole,Walsoken Grid 33kV,EPN-S0000000D6077,132,Budget Estimates Provided,,,2,90,"52.6607159075881, 0.190011771658331"
499,Eastern Power Networks (EPN),Watford South,Amersham Primary 11kV,EPN-S0000000H8128,11,Connection offers made (not yet accepted by customer),1.0,1.5,,,"51.6718510984256, -0.592743855667607"
504,Eastern Power Networks (EPN),Watford South,Holywell Grid 11kV,EPN-S0000000F8095,11,Connection offers made (not yet accepted by customer),2.0,11.5,,,"51.6462484410946, -0.408689669739172"
505,Eastern Power Networks (EPN),Watford South,Holywell Grid 33kV,EPN-S0000000D8095,33,Connection offers made (not yet accepted by customer),,,1,25,"51.6462181285799, -0.4077801463388"
538,Eastern Power Networks (EPN),Wymondley,Warren Springs Primary 11kV,,11,Connection offers made (not yet accepted by customer),1.0,5.0,,,
540,Eastern Power Networks (EPN),Wymondley,West Letchworth Primary 11kV,EPN-S0000000H8106,11,Connection offers made (not yet accepted by customer),2.0,3.3,,,"51.9877928601118, -0.246606575221753"
549,London Power Networks (LPN),Barking C 132kV,Barking C 132kV,LPN-S000000003617,132,Connection offers made (not yet accepted by customer),1.0,30.0,,,"51.5180876207753, 0.113237412648443"
570,London Power Networks (LPN),City Road,Beech St A 11kV,,11,Connection offers made (not yet accepted by customer),1.0,2.0,,,
595,London Power Networks (LPN),Littlebrook,Broadway 11kV,LPN-S000000000705,11,Connection offers made (not yet accepted by customer),1.0,1.8,,,"51.4569801319857, 0.136612148212005"
603,London Power Networks (LPN),Hackney 132kV,King Henry's Walk 11kV,,11,Connection offers made (not yet accepted by customer),1.0,1.3,,,
669,London Power Networks (LPN),West Ham,Bow 11kV,LPN-S000000000615,11,"Connection offers made (cancelled, expired, superseded)",2.0,2.8,,,"51.5325947141485, -0.0123825637120869"
670,London Power Networks (LPN),West Ham,Bow 11kV,LPN-S000000000615,11,Connection offers made (accepted by customer),1.0,2.0,,,"51.5325947141485, -0.0123825637120869"
681,London Power Networks (LPN),West Ham,West Ferry Circus 11kV,,11,Budget Estimates Provided,1.0,1.6,,,
686,London Power Networks (LPN),Willesden 132kV,Fulham Palace Rd C 11kV,LPN-S000000000130,11,Connection offers made (not yet accepted by customer),1.0,1.1,,,"51.4906347192032, -0.221826595389063"
699,London Power Networks (LPN),New Cross 132kV,Deptford West 22kV,LPN-S000000003722,11,Connection offers made (not yet accepted by customer),2.0,3.5,1,1,"51.4837341488212, -0.0228184606791258"
712,London Power Networks (LPN),Wimbledon 3&4 132kV,Moreton Street 11kV,LPN-S000000000365,11,Connection offers made (not yet accepted by customer),5.0,6.6,,,"51.490067479721, -0.134945395376996"
732,South Eastern Power Networks (SPN),Bolney,Buxted 33kV,,11,"Connection offer made (cancelled, expired, superseded)",1.0,1.0,,,
747,South Eastern Power Networks (SPN),Bolney,Kemp Town 11kV,,11,Connection offer made (accepted by customer),1.0,1.5,,,
755,South Eastern Power Networks (SPN),Bolney,North Shoreham 11kV,SPN-S000000008448,11,Connection offer made (not yet accepted by customer),1.0,1.43,,,"50.8396838818792, -0.283101798592647"
761,South Eastern Power Networks (SPN),Bolney,Redhill Primary 11kV,SPN-S000000008337,11,Connection offer made (accepted by customer),1.0,2.0,,,"51.2485179586861, -0.159608101776517"
762,South Eastern Power Networks (SPN),Bolney,Reigate 11kV,,11,Connection offer made (accepted by customer),1.0,2.7,,,
793,South Eastern Power Networks (SPN),Chessington,Surbiton 11kV,SPN-S000000008497,11,Connection offer made (not yet accepted by customer),1.0,2.75,,,"51.3857338867586, -0.294822435083174"
809,South Eastern Power Networks (SPN),Kemsley,Sittingbourne West 11kV,SPN-S000000008444,11,"Connection offer made (cancelled, expired, superseded)",1.0,4.48,,,"51.3412853502412, 0.715243085981626"
827,South Eastern Power Networks (SPN),Kingsnorth,Chatham Hill 11kV,SPN-S000000008645,11,Budget Estimates Provided,1.0,6.0,,,"51.3775931642859, 0.54051329034077"
833,South Eastern Power Networks (SPN),Laleham,Laleham 132kV,,132,Budget Estimates Provided,,,1,40,
840,South Eastern Power Networks (SPN),Littlebrook,Swanscombe 11kV,SPN-S000000008522,11,Connection offer made (not yet accepted by customer),1.0,1.3,,,"51.4525158455439, 0.303009715678596"
842,South Eastern Power Networks (SPN),Ninfield,Bexhill Town 11kV,SPN-S000000008317,11,"Connection offer made (cancelled, expired, superseded)",3.0,8.53,,,"50.8421223599025, 0.488736508959372"
843,South Eastern Power Networks (SPN),Ninfield,Eastbourne 11kV,SPN-S000000009318,11,"Connection offer made (cancelled, expired, superseded)",1.0,2.12,,,"50.7834058091451, 0.297337015481939"
886,South Eastern Power Networks (SPN),Richborough,Manston 11kV,SPN-S000000008616,11,Connection offer made (accepted by customer),1.0,1.4,1,7.8,"51.353037578375, 1.36475273803397"
899,South Eastern Power Networks (SPN),Sellindge,Betteshanger Grid 33kV,,33,"Connection offer made (cancelled, expired, superseded)",,,1,27.6,
909,South Eastern Power Networks (SPN),West Weybridge,C.E.R.L. 11kV,SPN-S000000008495,11,Connection offer made (not yet accepted by customer),1.0,1.05,,,"51.3056366806059, -0.342396176970815"
922,South Eastern Power Networks (SPN),West Weybridge,Guildford 'A' 11kV,SPN-S000000008521,11,Budget Estimates Provided,,,1,6.5,"51.2459436246394, -0.578257455447134"
